fid,Артикул,Название товара,Полное описание,Производитель,Цена продажи,Цена старая,Остаток,Изображения,Url,Подкатегория 1,ID товара в InSales,ID варианта товара в InSales
1505,450798,Шторка для ванной (арт. 1214) 180х200 без колец (PL),"- Обработка краев - термический шов, утяжелитель отсутствует;
- Размер 180*200;
- Состав: 100% полиэстер;
- Плотность: 900 г/см2
- Индивидуальная упаковка с крючком, этикетка на русском языке, штрих-код.
- 12 люверсов.",Zalel,817.0,0.0,0,https://static-ru.insales.ru/images/products/1/3015/486222791/medium_30004825-1.jpg,https://santitan.ru/product_by_id/269463607,Wildberries WB,269463607,467769931
1506,463435,"Сифон для мойки ""Эконом"" с нержавеющей чашкой, с отводом и с универсальным переливом (30987109)","Сифон для мойки ""Эконом"" с нержавеющей чашкой, с отводом и с универсальным переливом. Артикул 30987109.
Производитель Virplast
Сифон Бутылочного типа с отводом
Регулировка по высоте от 92 до 155 мм
Гидрозатвор 60 мм
Вход 3?""
Выход ?40 мм
Решетка из нержавеющей стали ?114 мм, диаметр чаши ?112 мм
Винт есть (М12)
Гофрированный перелив есть (L300 мм, в комплекте прямоугольный и круглый)
Выпуск есть
Скорость слива 36 л/мин.",Wirquin&VIRPlast,1090.0,0.0,0,https://static-ru.insales.ru/images/products/1/3031/486222807/medium_30139978-1.jpg https://static-ru.insales.ru/images/products/1/3034/486222810/medium_30139978-2.jpg,https://santitan.ru/product_by_id/269463608,Wildberries WB,269463608,467769935
1507,436274,Коврик для ванной,"- Материал: 100% хлопок на прорезиненной основе
- Размеры: 50х80 см
- Длина ворса: выстриженная рамка - короткий ворс, панно - длина ворса более 1 см
- Цвет: розовый.",Zalel,1635.0,0.0,0,https://static-ru.insales.ru/images/products/1/3045/486222821/medium_30257631-1.jpg,https://santitan.ru/product_by_id/269463610,Wildberries WB,269463610,467769939
1508,456363,Коврик для ванной,"- Материал: 100% полипропилена на мягкой прорезиненой основе (вспененный латекс)
- Размеры: 55х85/90 см, 45х55 см
- Длина ворса 11мм.
- Цвет: серый

В набор входит 2 предмета: прямоуголный коврик, коврик с вырезом под унитаз.
Коврик иглопрошивной (тафтинговый), по краям обработан оверлоком с прочной капроновой нитью.",Zalel,1448.0,0.0,0,https://static-ru.insales.ru/images/products/1/2964/486222740/medium_29876848-1.jpg,https://santitan.ru/product_by_id/269463612,Wildberries WB,269463612,467769945
1509,439385,"Шторка для ванной фотопринт ""Palm Leaf"" 180х180 без колец (PL)","- Обработка краев - подогнутый край, утяжелитель отсутствует;
- Размер 180*180;
- Состав: 100% полиэстер;
- Индивидуальная упаковка , штрих-код.
- 12 люверсов.",Zalel,1144.0,0.0,0,https://static-ru.insales.ru/images/products/1/3017/486222793/medium_30004831-1.jpg,https://santitan.ru/product_by_id/269463614,Wildberries WB,269463614,467769949
1510,453554,"Сифон Ани Пласт 1 1/2""*40 с литым выпуском, с гибкой трубой 40*40 (С0505)","Сифон для кухонной мойки с диаметром сливного отверстия 50мм, бутылочного типа. С литым выпуском и нержавеющей решеткой, для подключения к канализации комплектуется гибкой трубой 40*40мм
размер 250*94*73
Величина гидрозатвора 60 мм
Материал горловины - сталь.",АНИ Пласт,627.0,0.0,0,https://static-ru.insales.ru/images/products/1/3027/486222803/medium_30128267-1.jpg https://static-ru.insales.ru/images/products/1/3028/486222804/medium_30128267-2.jpg,https://santitan.ru/product_by_id/269463616,Wildberries WB,269463616,467769954
1511,415531,Коврик для ванной,"- Материал: 100% полипропилена на мягкой прорезиненой основе (вспененный латекс)
- Размеры: 60х100 см, 50х60 см
- Длина ворса 11мм.
- Цвет: розовый.",Zalel,1682.0,0.0,0,https://static-ru.insales.ru/images/products/1/2966/486222742/medium_29876849-1.jpg,https://santitan.ru/product_by_id/269463617,Wildberries WB,269463617,467769956
1512,450796,"Шторка для ванной ""Дельфины"" (арт. 1261) 180х200 без колец (PL)","- Обработка краев - термический шов, утяжелитель отсутствует;
- Размер 180*200;
- Состав: 100% полиэстер;
- Плотность: 900 г/см2
- Индивидуальная упаковка с крючком, этикетка на русском языке, штрих-код.
- 12 люверсов.",Zalel,817.0,0.0,0,https://static-ru.insales.ru/images/products/1/3019/486222795/medium_30008794-1.jpg,https://santitan.ru/product_by_id/269463619,Wildberries WB,269463619,467769960
1513,423433,Коврик для ванной,"- Материал: полиакрил на прорезиненой основе
- Размеры: 60х100 см, 50х60 см
- Длина ворса 15мм.
- Цвет: зеленый.",Zalel,1870.0,0.0,0,https://static-ru.insales.ru/images/products/1/2968/486222744/medium_29876853-1.jpg,https://santitan.ru/product_by_id/269463620,Wildberries WB,269463620,467769961
1514,416090,Коврик для ванной,"- Материал: 100% полипропилена на мягкой прорезиненой основе (вспененный латекс)
- Размеры: 60х100 см, 50х60 см
- Длина ворса 11мм.
- Цвет: бордовый.",Zalel,1682.0,0.0,0,https://static-ru.insales.ru/images/products/1/2971/486222747/medium_29876856-1.jpg,https://santitan.ru/product_by_id/269463622,Wildberries WB,269463622,467769963
1515,452908,"Набор ковриков для ванной (2предмета) ""Fantastik"" SCF11-001 60х100см (ворс) голубой","Коврик имеет резиновую основу, что делает его не скользящим по плитке
- Материал: Акрил 100%
- Размеры: 60*100 см для ванной, к туалету 50*60 см
- Ворс мягкий и пушистый
- За ковриками легко ухаживать при помощи пылесоса и стиральной машины. Разрешена стирка при температуре 30 градусов
- Цвет: голубой.",Zalel,2219.0,0.0,0,https://static-ru.insales.ru/images/products/1/2978/486222754/medium_29881636-1.jpg,https://santitan.ru/product_by_id/269463623,Wildberries WB,269463623,467769964
1516,457247,"Коврик для ванной ""Fantastik"" TP08117D 60х90см (ворс) серый","Коврик имеет резиновую основу, что делает его не скользящим по плитке
- Материал: Акрил 100%
- Размеры: 60х90 см
- Ворс мягкий и пушистый
- За ковриками легко ухаживать при помощи пылесоса и стиральной машины. Разрешена стирка при температуре 30 градусов
- Цвет: серый.",Zalel,1213.0,0.0,0,https://static-ru.insales.ru/images/products/1/2986/486222762/medium_29881639-1.jpg,https://santitan.ru/product_by_id/269463625,Wildberries WB,269463625,467769966
1517,461441,"Шторка для ванной ""Цветы"" серая (арт.Х-12) 180х200 без колец","- Обработка краев - термический шов, утяжелитель отсутствует;
- Размер 180*200;
- Состав: 100% полиэстер;
- Плотность: 900 г/см2
- Индивидуальная упаковка с крючком, этикетка на русском языке, штрих-код.
- 12 люверсов.",Zalel,817.0,0.0,0,https://static-ru.insales.ru/images/products/1/3003/486222779/medium_29997853-1.jpg,https://santitan.ru/product_by_id/269463626,Wildberries WB,269463626,467769968
1518,456373,"Набор ковриков (2предмета) ""Zalel"" 55х85/90см (ворс) бирюзовый","- Материал: 100% полипропилена на мягкой прорезиненой основе (вспененный латекс)
- Размеры: 55х85/90 см, 45х55 см
- Длина ворса 11мм.
- Цвет: бирюзовый

В набор входит 2 предмета: прямоуголный коврик, коврик с вырезом под унитаз.
Коврик иглопрошивной (тафтинговый), по краям обработан оверлоком с прочной капроновой нитью.",Zalel,1448.0,0.0,0,https://static-ru.insales.ru/images/products/1/2973/486222749/medium_29876857-1.jpg,https://santitan.ru/product_by_id/269463628,Wildberries WB,269463628,467769970
1519,439808,"Сифон Ани 1 1/4""х40, нерж. вып., с гофр 40x50 (С1010)","Сифоны Ани 1 1/4""*40 с гибкой трубой 40x50
* Габаритные размеры без трубы 310x94x73
* Величина гидрозатвора 60 мм
* Материал горловины - сталь.",АНИ Пласт,668.0,0.0,0,https://static-ru.insales.ru/images/products/1/3025/486222801/medium_30128252-1.jpg,https://santitan.ru/product_by_id/269463632,Wildberries WB,269463632,467769974
1520,441804,"Сифон Ани Пласт Грот для 2-х секционных моек 1 1/2""х40, выпуск из нержавеющей стали (А3000)","ДЛЯ МОЙКИ

Габаритные размеры 360x600x86
Величина гидрозатвора 60мм
Материал горловины - сталь.",АНИ Пласт,908.0,0.0,0,https://static-ru.insales.ru/images/products/1/3036/486222812/medium_30139979-1.jpg,https://santitan.ru/product_by_id/269463634,Wildberries WB,269463634,467769975
1521,439799,"СифонАни Пласт Грот 1 1/2""*40 с отводом стиральной машины, с гибкой трубой 40x40/50 (А2015)","Сифон Ани Грот 1 1/2""*40 с отводом стиральной машины, с гибкой трубой 40x40/50
* Габаритные размеры без трубы 245x183x86
* Величина гидрозатвора 60 мм
* Материал горловины - сталь.",АНИ Пласт,638.0,0.0,0,https://static-ru.insales.ru/images/products/1/3042/486222818/medium_30139982-1.jpg,https://santitan.ru/product_by_id/269463636,Wildberries WB,269463636,467769978
1522,457250,Коврик для ванной,"Коврик имеет резиновую основу, что делает его не скользящим по плитке
- Материал: Акрил 100%
- Размеры: 60х90 см
- Ворс мягкий и пушистый
- За ковриками легко ухаживать при помощи пылесоса и стиральной машины. Разрешена стирка при температуре 30 градусов
- Цвет: желто-синий.",Zalel,1213.0,0.0,0,https://static-ru.insales.ru/images/products/1/2984/486222760/medium_29881638-1.jpg,https://santitan.ru/product_by_id/269463637,Wildberries WB,269463637,467769983
1523,456354,Коврик для ванной,"- Материал: 100% полипропилена на мягкой прорезиненой основе (вспененный латекс)
- Иглопрошивной (тафтинговый)
- По краям обработан оверлоком с прочной капроновой нитью
- Размеры: 55х85/90 см
- Длина ворса 11мм.
- Цвет: сиреневый.",Zalel,1005.0,0.0,0,https://static-ru.insales.ru/images/products/1/2990/486222766/medium_29881642-1.jpg,https://santitan.ru/product_by_id/269463639,Wildberries WB,269463639,467769988
1524,456947,"Шторка для ванной 3D(EVA) 180х180 с кольцами коричневая галька, арт. 1003E","Прочные и плотные шторы с голографическим объемным (3D) эффектом.
- Размер 180*180;
- Индивидуальная упаковка с крючком
- 12 колец в комплекте.
Отверстия под кольца термически обработаны, а сам верхний край очень
прочный благодаря двойному загибу.",Zalel,1098.0,0.0,0,https://static-ru.insales.ru/images/products/1/2994/486222770/medium_29997846-1.jpg https://static-ru.insales.ru/images/products/1/2996/486222772/medium_29997846-2.jpg,https://santitan.ru/product_by_id/269463641,Wildberries WB,269463641,467769994
1525,439813,"Сифон Ани 1 1/4""х40, нерж. вып., с гт 40x40/50 (С2015)","Сифон Ани 1 1/4""*40 с гибкой трубой 40x40/50
* Габаритные размеры без трубы 230x94x73
* Величина гидрозатвора 60 мм
* Материал горловины - сталь.",АНИ Пласт,630.0,0.0,0,https://static-ru.insales.ru/images/products/1/3021/486222797/medium_30128243-1.jpg https://static-ru.insales.ru/images/products/1/3023/486222799/medium_30128243-2.jpg,https://santitan.ru/product_by_id/269463643,Wildberries WB,269463643,467769998
1526,444962,"Сифон Ани Пласт Грот 3 1/2""х40, с жестким круглым переливом мойки (A0142)","ДЛЯ МОЙКИ

Сифон Ани Грот 3 1/2""*40 с жестким круглым переливом мойки.",АНИ Пласт,2090.0,0.0,0,https://static-ru.insales.ru/images/products/1/3038/486222814/medium_30139981-1.jpg,https://santitan.ru/product_by_id/269463644,Wildberries WB,269463644,467770002
1527,439819,"Сифон Ани Пласт Варяг для ванны S тип, 1 1/2""х40, с гибкой трубой 40x50","Сифон Варяг для ванны с гибкой трубой 40x50
* Габаритные размеры без перелива 250x140x74
* Материал горловины и перелива - полипропилен.",АНИ Пласт,720.0,0.0,0,https://static-ru.insales.ru/images/products/1/3044/486222820/medium_30147331-1.jpg,https://santitan.ru/product_by_id/269463646,Wildberries WB,269463646,467770006
1528,456341,"Коврик для ванной ""Zalel"" 55х85/90см (ворс) бордовый","- Материал: 100% полипропилена на мягкой прорезиненой основе (вспененный латекс)
- Иглопрошивной (тафтинговый)
- По краям обработан оверлоком с прочной капроновой нитью
- Размеры: 55х85/90 см
- Длина ворса 11мм.
- Цвет: бордовый.",Zalel,1005.0,0.0,0,https://static-ru.insales.ru/images/products/1/3047/486222823/medium_30257637-1.jpg,https://santitan.ru/product_by_id/269463647,Wildberries WB,269463647,467770011
1529,449377,Шторка для ванной PEVA (арт. YE-4200P) 180х180 c кольцами (PL),"- Обработка краев - термический шов, утяжелитель отсутствует;
- Размер 180*180;
- Состав: PEVA 100%;
- Индивидуальная упаковка , этикетка на русском языке, штрих-код;
- 12 люверсов;
- 12 колец;.",Zalel,702.0,0.0,0,https://static-ru.insales.ru/images/products/1/2997/486222773/medium_29997851-1.jpg,https://santitan.ru/product_by_id/269463650,Wildberries WB,269463650,467770018
1530,449379,Шторка для ванной PEVA (арт. YE-4200G) 180х180 c кольцами (PL),"- Обработка краев - термический шов, утяжелитель отсутствует;
- Размер 180*180;
- Состав: PEVA 100%;
- Индивидуальная упаковка , этикетка на русском языке, штрих-код;
- 12 люверсов;
- 12 колец;.",Zalel,702.0,0.0,0,https://static-ru.insales.ru/images/products/1/3001/486222777/medium_29997848-1.jpg,https://santitan.ru/product_by_id/269463651,Wildberries WB,269463651,467770023
1531,456663,"Шторка для ванной фотопринт ""Big Ben"" 180х180 без колец (PL), арт. DX-020","- Обработка краев - термический шов, утяжелитель отсутствует;
- Размер 180*180;
- Состав: 100% полиэстер;
- Индивидуальная упаковка , штрих-код.
- 12 люверсов.
Основные свойства:
- практичность и удобство при эксплуатации;
- высокая степень защиты от пятен и загрязнений;
- водо- и влагонепроницаемость;
- высокая термоустойчивость (не деформируется от горячих предметов);
- прочность и износоустойчивость;
Возможна глажка с изнаночной стороны. Не рекомендуется химическая чистка.",Zalel,1144.0,0.0,0,https://static-ru.insales.ru/images/products/1/3007/486222783/medium_29997859-1.jpg,https://santitan.ru/product_by_id/269463653,Wildberries WB,269463653,467770028
1532,456664,"Шторка для ванной фотопринт ""Аrchitecture"" 180х180 без колец (PL), арт. DX-021","- Обработка краев - термический шов, утяжелитель отсутствует;
- Размер 180*180;
- Состав: 100% полиэстер;
- Индивидуальная упаковка , штрих-код.
- 12 люверсов.
Основные свойства:
- практичность и удобство при эксплуатации;
- высокая степень защиты от пятен и загрязнений;
- водо- и влагонепроницаемость;
- высокая термоустойчивость (не деформируется от горячих предметов);
- прочность и износоустойчивость;
Уход: стирка в стиральной машине при температуре не выше 40гр , возможна глажка с изнаночной стороны. Не рекомендуется химическая чистка.",Zalel,1144.0,0.0,0,https://static-ru.insales.ru/images/products/1/3008/486222784/medium_29997866-1.jpg,https://santitan.ru/product_by_id/269463656,Wildberries WB,269463656,467770035
1533,456661,"Шторка для ванной фотопринт ""Эйфелева башня"" 180х180 без колец (PL), арт. 461304","- Обработка краев - термический шов, утяжелитель отсутствует; - Размер 180*180; - Состав: 100% полиэстер; - Индивидуальная упаковка , штрих-код. - 12 люверсов. Основные свойства: * практичность и удобство при эксплуатации; * высокая степень защиты от пятен и загрязнений; * водо- и влагонепроницаемость; * высокая термоустойчивость (не деформируется от горячих предметов); * прочность и износоустойчивость; Уход: стирка в стиральной машине при температуре не выше 40гр , возможна глажка с изнаночной стороны. Не рекомендуется химическая чистка.",Zalel,1144.0,0.0,0,https://static-ru.insales.ru/images/products/1/3011/486222787/medium_29997870-1.jpg,https://santitan.ru/product_by_id/269463658,Wildberries WB,269463658,467770041
1534,457669,Шторка для ванной (арт. 01470) 180х200 без колец белая (PL),"- Обработка краев - термический шов, утяжелитель отсутствует;
- Размер 180*200;
- Состав: 100% полиэстер;
- Плотность: 900 г/см2
- Индивидуальная упаковка с крючком, этикетка на русском языке, штрих-код.
- 12 люверсов.",Zalel,817.0,0.0,0,https://static-ru.insales.ru/images/products/1/3138/486222914/medium_30004829-1.jpg,https://santitan.ru/product_by_id/269463660,Wildberries WB,269463660,467770046
1535,422599,"Шторка для ванной ""Cizgi"" млечный путь (арт. 008) 180х200 без колец белая (PL)","- Обработка краев - термический шов, утяжелитель отсутствует;
- Размер 180*200;
- Состав: 100% полиэстер;
- Плотность: 900 г/см2
- Индивидуальная упаковка с крючком, этикетка на русском языке, штрих-код.
- 12 люверсов.",Zalel,817.0,0.0,0,https://static-ru.insales.ru/images/products/1/3139/486222915/medium_30004834-1.jpg,https://santitan.ru/product_by_id/269463661,Wildberries WB,269463661,467770054
1536,446935,Шторка для ванной (арт.1309) 180х200 без колец (PL),"- Обработка краев - термический шов, утяжелитель отсутствует;
- Размер 180*200;
- Состав: 100% полиэстер;
- Плотность: 900 г/см2
- Индивидуальная упаковка с крючком, этикетка на русском языке
- 12 люверсов.",Zalel,817.0,0.0,0,https://static-ru.insales.ru/images/products/1/3140/486222916/medium_30008791-1.jpg,https://santitan.ru/product_by_id/269463663,Wildberries WB,269463663,467770060
1537,нержавеющая_сталь,Шпатель кондитерский,"Многофункциональный металлический кондитерский шпатель для торта, теста, скребок, можно использовать для резкий овощей.

Кондитерский шпатель - незаменимый инструмент как для кондитера-профессионала, так и для просто любителя повозиться на кухне.
Шпатель кондитерский или скребок - это популярные кондитерские инструменты, незаменимые помощники в деле оформления и декорирования тортов, пирожных и прочей выпечки и десертов.
Это многофункциональные приспособления.
С их помощью можно не только легко поднимать и перемещать тонкие коржи, наносить крема, выравнивать поверхности и края, но и создавать впечатляющие узоры и орнаменты. Используя специальный шпатель или скребок Вы без труда можете перенести торт на поднос, выровнять его поверхность перед нанесением мастики, равномерно распределить белковый, масляный, сливочный крем или джем, идеально выровнять слой шоколада или глазури, а также интересно декорировать поверхность или стороны вашего кондитерского произведения.

Размер: 15*11.5 см.",Ingruel,350.0,0.0,0,https://static-ru.insales.ru/images/products/1/3146/486222922/medium_30040460-1.jpg https://static-ru.insales.ru/images/products/1/3148/486222924/medium_30040460-2.jpg https://static-ru.insales.ru/images/products/1/3150/486222926/medium_30040460-3.jpg https://static-ru.insales.ru/images/products/1/3151/486222927/medium_30040460-4.jpg https://static-ru.insales.ru/images/products/1/3152/486222928/medium_30040460-5.jpg https://static-ru.insales.ru/images/products/1/3153/486222929/medium_30040460-6.jpg,https://santitan.ru/product_by_id/269463665,Wildberries WB,269463665,467770067
1538,439812,"Сифон Ани Пласт 1 1/4""х40, нержавеющий выпуск, с гибкой трубой 40x50 (С2010)","Сифон Ани 1 1/4""*40 с гибкой трубой 40x50
* Габаритные размеры без трубы 230x94x73
* Величина гидрозатвора 60 мм
* Материал горловины - сталь.",АНИ Пласт,612.0,0.0,0,https://static-ru.insales.ru/images/products/1/3157/486222933/medium_30128268-1.jpg https://static-ru.insales.ru/images/products/1/3158/486222934/medium_30128268-2.jpg,https://santitan.ru/product_by_id/269463667,Wildberries WB,269463667,467770072
1539,439837,"Сифон Ани Пласт для ванны регулируемый с выпуском и переливом 1 1/2"" с гибкой трубой 40x50 (Е255)","Сифон Ани для ванны регулируемый с выпуском и переливом 1 1/2"" с гибкой трубой 40x50
* Габаритные размеры без перелива и трубы 234x115x74
* Материал горловины и перелива - сталь.",АНИ Пласт,1147.0,0.0,0,https://static-ru.insales.ru/images/products/1/3170/486222946/medium_30147333-1.jpg,https://santitan.ru/product_by_id/269463669,Wildberries WB,269463669,467770079
1540,452495,Шторка для ванной ECO (арт. 1312) 170х200 без колец бежевая (PL),"- Обработка краев - термический шов, утяжелитель отсутствует;
- Размер 170*200;
- Состав: 100% полиэстер;
- Плотность: 830 г/см2
- Индивидуальная упаковка , этикетка на русском языке, штрих-код.",Zalel,537.0,0.0,0,https://static-ru.insales.ru/images/products/1/3143/486222919/medium_30008792-1.jpg,https://santitan.ru/product_by_id/269463670,Wildberries WB,269463670,467770085
1541,446918,"Шторка для ванной ""Stihiya"" (арт. X-133) 180х200 без колец (PL)","- Обработка краев - термический шов, утяжелитель отсутствует;
- Размер 180*200;
- Состав: 100% полиэстер;
- Плотность: 900 г/см2
- Индивидуальная упаковка с крючком, этикетка на русском языке, штрих-код.
- 12 люверсов.",Zalel,817.0,0.0,0,https://static-ru.insales.ru/images/products/1/3145/486222921/medium_30008795-1.jpg,https://santitan.ru/product_by_id/269463672,Wildberries WB,269463672,467770091
1542,422996,"Коврик резиновый ""Камушки"" 69х36 (BR-6936) для ванной на присосках, голубой","- Материал: силикон
- Размеры: 69х36 см
- На присосках
- Цвет: голубой.",Zalel,676.0,0.0,0,https://static-ru.insales.ru/images/products/1/3207/486222983/medium_30261686-1.jpg,https://santitan.ru/product_by_id/269463673,Wildberries WB,269463673,467770100
1543,461436,Шторка для ванной (арт.1283) 180х200 без колец,"- Обработка краев - термический шов, утяжелитель отсутствует;
- Размер 180*200;
- Состав: 100% полиэстер;
- Плотность: 900 г/см2
- Индивидуальная упаковка с крючком, этикетка на русском языке,.
- 12 люверсов.",Zalel,817.0,0.0,0,https://static-ru.insales.ru/images/products/1/3154/486222930/medium_30118307-1.jpg,https://santitan.ru/product_by_id/269463675,Wildberries WB,269463675,467770107
1544,410876,Сифон для моек и умывальников с нерж. выпуском 1 1/4 -40/50 (800мм.) (30717988),Сифон гофрированный с нерж.выпуском. Выход в канализ .40/50. Для моек и умывальников! Длинный болт.,Wirquin&VIRPlast,401.0,0.0,0,https://static-ru.insales.ru/images/products/1/3155/486222931/medium_30128269-1.jpg,https://santitan.ru/product_by_id/269463677,Wildberries WB,269463677,467770112
1545,456345,Коврик для ванной,"- Материал: 100% полипропилена на мягкой прорезиненой основе (вспененный латекс)
- Иглопрошивной (тафтинговый)
- По краям обработан оверлоком с прочной капроновой нитью
- Размеры: 55х85/90 см
- Длина ворса 11мм.
- Цвет: кремовый.",Zalel,1005.0,0.0,0,https://static-ru.insales.ru/images/products/1/3198/486222974/medium_30257641-1.jpg,https://santitan.ru/product_by_id/269463680,Wildberries WB,269463680,467770117
1546,452314,"Сифон ""Элит"" для разноуровневой мойки с нерж. чашкой 112 мм., отводом для стир. машин (арт.30986178)","Сифон ""Элит"" для 2-ой, разноуровневой мойки с нерж. чашкой 112 мм, отводом для стир. маш. и круглым переливом

ТЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ:
- гидрозатвор 75 мм
- вход 1 1/2""
- выход 40 мм
- решетка нерж. сталь 112 мм
- гофро перелив 300 мм
- отвод (+заглушка)
- регулировка по высоте от 195 до 265 мм.",Wirquin&VIRPlast,2680.0,0.0,0,https://static-ru.insales.ru/images/products/1/3159/486222935/medium_30139980-1.jpg https://static-ru.insales.ru/images/products/1/3162/486222938/medium_30139980-2.jpg,https://santitan.ru/product_by_id/269463681,Wildberries WB,269463681,467770123
1547,456356,"Коврик для ванной ""Zalel"" 55х85/90см (ворс) бирюзовый","- Материал: 100% полипропилена на мягкой прорезиненой основе (вспененный латекс)
- Иглопрошивной (тафтинговый)
- По краям обработан оверлоком с прочной капроновой нитью
- Размеры: 55х85/90 см
- Длина ворса 11мм.
- Цвет: бирюзовый.",Zalel,1005.0,0.0,0,https://static-ru.insales.ru/images/products/1/3192/486222968/medium_30257636-1.jpg,https://santitan.ru/product_by_id/269463682,Wildberries WB,269463682,467770127
1548,410850,"Сифон для моек ""МИНОР"" бутылочный 1 1/2 -40 с гибкой трубой 40-40/50 для отвода в канал.(30718026)","Сифон бутылочный ""Минор"" с нерж.выпуском. В комплекте с гибкой трубой 40-40/50 для отвода в канализацию. Только для моек!",Wirquin&VIRPlast,530.0,0.0,0,https://static-ru.insales.ru/images/products/1/3164/486222940/medium_30139983-1.jpg https://static-ru.insales.ru/images/products/1/3165/486222941/medium_30139983-2.jpg,https://santitan.ru/product_by_id/269463685,Wildberries WB,269463685,467770131
1549,черный,Щипцы для укладки,"Удивительный товар - плойку BabyLiss PRO Perfect Curl по супер низкой цене можно купить в нашем магазине в Тольятти. Эта новинка индустрии красоты, которую оценили миллионы девушек и женщин по всему миру, стала доступна прекрасным жительницам нашего города!

Идеальные локоны - плойка BabyLiss PRO Perfect Curl!
Именно так переводится название, Perfect Curl - Идеальные Локоны. И они стали невероятно доступны всем - без долгого ожидания очереди к мастеру в салоне красоты. Получите идеальные локоны, не выходя из дома, в течение нескольких минут!

Устройство имеет три температурных режима, 190 С, 210 С и 230 С, и три режима по времени - 8, 10 и 12 секунд. Мы рекомендуем для тонких и ломких волос использовать.",Babyliss,2559.0,0.0,0,https://static-ru.insales.ru/images/products/1/3239/486223015/medium_30323295-1.jpg https://static-ru.insales.ru/images/products/1/3241/486223017/medium_30323295-2.jpg https://static-ru.insales.ru/images/products/1/3243/486223019/medium_30323295-3.jpg https://static-ru.insales.ru/images/products/1/3244/486223020/medium_30323295-4.jpg https://static-ru.insales.ru/images/products/1/3246/486223022/medium_30323295-5.jpg,https://santitan.ru/product_by_id/269463687,Wildberries WB,269463687,467770135
1550,429323,Сифон - бутылка ЭЛИТ для моек с 2 отводами д/подключения стир.и посудомоечной машины (арт.6144),"С нержавеющей чашкой 70 мм.
Сифон - бутылка для моек с 2 отводами д/подключения стир.и посудомоечной машины. Без гофроотвода.",Wirquin&VIRPlast,486.0,0.0,0,https://static-ru.insales.ru/images/products/1/3166/486222942/medium_30139987-1.jpg,https://santitan.ru/product_by_id/269463689,Wildberries WB,269463689,467770137
1551,439832,"Сифон Ани Пласт для ванны с выпуском и переливом 1 1/2"", с гибкой трубой 40x50 (Е155)","Сифон Ани для ванны с выпуском и переливом 1 1/2"" с гибкой трубой 40x50
* Габаритные размеры без перелива 250x140x74
* Материал горловины и перелива - сталь.",АНИ Пласт,1146.0,0.0,0,https://static-ru.insales.ru/images/products/1/3167/486222943/medium_30147332-1.jpg,https://santitan.ru/product_by_id/269463692,Wildberries WB,269463692,467770148
1552,420928,"Сифон для ванны Стандарт, выход на 40, в комплекте с гибкой трубой 40х40/50 (30718061)","Сифон для ванны Стандарт, выход на 40. В комплекте с гибкой трубой 40х40/50. Имеет возможность прочистки и регулировки.",Wirquin&VIRPlast,987.0,0.0,0,https://static-ru.insales.ru/images/products/1/3172/486222948/medium_30147335-1.jpg https://static-ru.insales.ru/images/products/1/3174/486222950/medium_30147335-2.jpg,https://santitan.ru/product_by_id/269463694,Wildberries WB,269463694,467770151
1553,436273,Коврик для ванной,"- Материал: 100% хлопок на прорезиненной основе
- Размеры: 50х80 см
- Длина ворса: выстриженная рамка - короткий ворс, панно - длина ворса более 1 см
- Цвет: серый.",Zalel,1635.0,0.0,0,https://static-ru.insales.ru/images/products/1/3191/486222967/medium_30257633-1.jpg,https://santitan.ru/product_by_id/269463696,Wildberries WB,269463696,467770154
1554,456351,Коврик для ванной,"- Материал: 100% полипропилена на мягкой прорезиненой основе (вспененный латекс)
- Иглопрошивной (тафтинговый)
- По краям обработан оверлоком с прочной капроновой нитью
- Размеры: 55х85/90 см
- Длина ворса 11мм.
- Цвет: голубой.",Zalel,1005.0,0.0,0,https://static-ru.insales.ru/images/products/1/3194/486222970/medium_30257638-1.jpg,https://santitan.ru/product_by_id/269463697,Wildberries WB,269463697,467770159
1555,439826,"Сифон для ванны АНИ с выпуском и переливом плоский 1 1/2""х40 плоский, (Е050)","Сифон АНИ для ванны с выпуском и переливом плоский 1 1/2""
Габаритные размеры 74x260x128 без перелива.",АНИ Пласт,1023.0,0.0,0,https://static-ru.insales.ru/images/products/1/3176/486222952/medium_30147336-1.jpg,https://santitan.ru/product_by_id/269463700,Wildberries WB,269463700,467770162
1556,443691,Дозатор для ванной,"Диспенсер (3183) для жидкого мыла с держателем, настенный 150мл

Материал -металл, стекло
Напыление - хром

Тип- миханический

Упаковка - блистер.",Zollen,702.0,0.0,0,https://static-ru.insales.ru/images/products/1/3215/486222991/medium_30283499-1.jpg,https://santitan.ru/product_by_id/269463702,Wildberries WB,269463702,467770166
1557,451011,"Сифон- обвязка для ванн ВИР ""МИНИ ЭЛИТ"" 1 1/2 - 40/50, с гибкой трубой (L=600мм.) (арт.30980653)","Сифон- обвязка для ванн без прочистки универсальная новой серии МИНИ ЭЛИТ. Выпуск пластик Белый цвет В комплекте с гибкой трубой L 600мм, выход в канализацию 40/50, пробка черная на цепочке. Подходит к стальным и чугунным ваннам.",Wirquin&VIRPlast,537.0,0.0,0,https://static-ru.insales.ru/images/products/1/3179/486222955/medium_30147337-1.jpg https://static-ru.insales.ru/images/products/1/3180/486222956/medium_30147337-2.jpg,https://santitan.ru/product_by_id/269463703,Wildberries WB,269463703,467770171
